Timecode List:,00:00:12.212,00:00:13.981,00:00:15.682,00:00:16.316,00:00:17.484,00:00:19.152,00:00:19.786,00:00:20.921,00:00:22.623,00:00:23.490,00:00:24.358,00:00:25.092,00:00:26.026,00:00:27.527,00:00:34.268,00:00:39.439,00:00:42.175,00:00:45.812,00:00:50.217,00:00:57.124,00:01:04.398,00:01:10.304,00:01:15.709,00:01:21.048,00:01:26.253,00:01:31.892,00:01:36.730,00:01:39.900,00:01:45.238,00:01:52.012,00:01:52.713,00:01:53.380,00:01:54.982,00:01:58.785,00:02:03.557,00:02:08.695,00:02:13.900,00:02:21.174,00:02:26.313,00:02:36.123,00:02:39.960,00:02:45.499,00:02:50.270,00:02:53.974,00:02:58.278,00:03:02.683,00:03:07.654,00:03:12.459,00:03:15.696,00:03:19.533,00:03:24.638,00:03:30.010,00:03:32.846,00:03:36.683,00:03:42.055,00:03:47.394,00:03:52.365,00:03:53.066,00:03:57.537,00:04:02.909,00:04:08.148,00:04:13.086,00:04:19.059,00:04:24.664,00:04:31.304,00:04:36.042,00:04:41.214,00:04:46.520,00:04:49.422,00:04:52.592,00:04:57.764,00:05:01.802,00:05:06.206,00:05:10.844,00:05:15.749,00:05:18.552,00:05:23.323,00:05:28.595,00:05:32.499,00:05:36.503,00:05:42.776,00:05:48.515,00:05:53.520,00:05:57.791,00:06:03.463,00:06:09.469,00:06:20.380,00:06:21.181,00:06:21.781,00:06:24.618,00:06:31.291,00:06:36.563,00:06:37.464,00:06:38.064,00:06:41.234,00:06:46.339,00:06:51.478,00:06:56.483,00:07:02.088,00:07:08.028,00:07:13.099,00:07:17.971,00:07:22.842,00:07:27.814,00:07:35.388,00:07:40.427,00:07:44.631,00:07:49.402,00:07:54.708,00:08:07.721,00:08:12.225,00:08:17.230,00:08:24.004,00:08:27.674,00:08:33.380,00:08:39.819,00:08:41.988,00:08:43.556,00:08:47.694,00:08:52.766,00:08:58.238,00:09:03.309,00:09:08.048,00:09:12.919,00:09:17.857,00:09:21.594,00:09:27.067,00:09:32.806,00:09:37.877,00:09:42.715,00:09:47.921,00:09:51.391,00:09:58.064,00:10:03.069,00:10:06.172,00:10:09.609,00:10:14.447,00:10:23.223,00:10:28.361,00:10:33.833,00:10:38.838,00:10:44.744,00:10:48.381,00:10:50.650,00:10:55.622,00:11:01.327,00:11:05.832,00:11:10.937,00:11:15.675,00:11:19.779,00:11:22.982,00:11:28.788,00:11:32.492,00:11:34.761,00:11:45.038,00:11:51.811,00:11:56.649,00:12:01.354,00:12:06.392,00:12:09.862,00:12:14.334,00:12:18.905,00:12:23.176,00:12:26.512,00:12:33.286,00:12:39.626,00:12:44.631,00:12:49.802,00:12:54.707,00:13:02.215,00:13:07.053,00:13:13.226,00:13:18.731,00:13:24.437,00:13:29.776,00:13:34.781,00:13:39.952,00:13:45.091,00:13:50.663,00:13:54.334,00:13:58.871,00:14:04.344,00:14:10.717,00:14:18.524,00:14:24.263,00:14:28.067,00:14:32.672,00:14:41.614,00:14:50.022,00:14:53.760,00:14:58.631,00:15:01.267,00:15:16.215,00:15:23.656,00:15:28.895,00:15:36.736,00:15:42.175,00:15:48.748,00:15:59.725,00:16:06.799,00:16:13.306
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
58,6964,00:03:52.365,232.365,6985,00:03:53.066,233.066,21,00:00:00.701,0.701
59,6985,00:03:53.066,233.066,7119,00:03:57.537,237.537,134,00:00:04.471,4.471
60,7119,00:03:57.537,237.537,7280,00:04:02.909,242.909,161,00:00:05.372,5.372
61,7280,00:04:02.909,242.909,7437,00:04:08.148,248.148,157,00:00:05.239,5.239
62,7437,00:04:08.148,248.148,7585,00:04:13.086,253.086,148,00:00:04.938,4.938
63,7585,00:04:13.086,253.086,7764,00:04:19.059,259.059,179,00:00:05.973,5.973
64,7764,00:04:19.059,259.059,7932,00:04:24.664,264.664,168,00:00:05.606,5.606
65,7932,00:04:24.664,264.664,8131,00:04:31.304,271.304,199,00:00:06.640,6.640
66,8131,00:04:31.304,271.304,8273,00:04:36.042,276.042,142,00:00:04.738,4.738
67,8273,00:04:36.042,276.042,8428,00:04:41.214,281.214,155,00:00:05.172,5.172
68,8428,00:04:41.214,281.214,8587,00:04:46.520,286.520,159,00:00:05.305,5.305
69,8587,00:04:46.520,286.520,8674,00:04:49.422,289.422,87,00:00:02.903,2.903
70,8674,00:04:49.422,289.422,8769,00:04:52.592,292.592,95,00:00:03.170,3.170
71,8769,00:04:52.592,292.592,8924,00:04:57.764,297.764,155,00:00:05.172,5.172
72,8924,00:04:57.764,297.764,9045,00:05:01.802,301.802,121,00:00:04.037,4.037
73,9045,00:05:01.802,301.802,9177,00:05:06.206,306.206,132,00:00:04.404,4.404
74,9177,00:05:06.206,306.206,9316,00:05:10.844,310.844,139,00:00:04.638,4.638
75,9316,00:05:10.844,310.844,9463,00:05:15.749,315.749,147,00:00:04.905,4.905
76,9463,00:05:15.749,315.749,9547,00:05:18.552,318.552,84,00:00:02.803,2.803
77,9547,00:05:18.552,318.552,9690,00:05:23.323,323.323,143,00:00:04.771,4.771
78,9690,00:05:23.323,323.323,9848,00:05:28.595,328.595,158,00:00:05.272,5.272
79,9848,00:05:28.595,328.595,9965,00:05:32.499,332.499,117,00:00:03.904,3.904
80,9965,00:05:32.499,332.499,10085,00:05:36.503,336.503,120,00:00:04.004,4.004
81,10085,00:05:36.503,336.503,10273,00:05:42.776,342.776,188,00:00:06.273,6.273
82,10273,00:05:42.776,342.776,10445,00:05:48.515,348.515,172,00:00:05.739,5.739
83,10445,00:05:48.515,348.515,10595,00:05:53.520,353.520,150,00:00:05.005,5.005
84,10595,00:05:53.520,353.520,10723,00:05:57.791,357.791,128,00:00:04.271,4.271
85,10723,00:05:57.791,357.791,10893,00:06:03.463,363.463,170,00:00:05.672,5.672
86,10893,00:06:03.463,363.463,11073,00:06:09.469,369.469,180,00:00:06.006,6.006
87,11073,00:06:09.469,369.469,11400,00:06:20.380,380.380,327,00:00:10.911,10.911
88,11400,00:06:20.380,380.380,11424,00:06:21.181,381.181,24,00:00:00.801,0.801
89,11424,00:06:21.181,381.181,11442,00:06:21.781,381.781,18,00:00:00.601,0.601
90,11442,00:06:21.781,381.781,11527,00:06:24.618,384.618,85,00:00:02.836,2.836
91,11527,00:06:24.618,384.618,11727,00:06:31.291,391.291,200,00:00:06.673,6.673
92,11727,00:06:31.291,391.291,11885,00:06:36.563,396.563,158,00:00:05.272,5.272
93,11885,00:06:36.563,396.563,11912,00:06:37.464,397.464,27,00:00:00.901,0.901
94,11912,00:06:37.464,397.464,11930,00:06:38.064,398.064,18,00:00:00.601,0.601
95,11930,00:06:38.064,398.064,12025,00:06:41.234,401.234,95,00:00:03.170,3.170
96,12025,00:06:41.234,401.234,12178,00:06:46.339,406.339,153,00:00:05.105,5.105
97,12178,00:06:46.339,406.339,12332,00:06:51.478,411.478,154,00:00:05.138,5.138
98,12332,00:06:51.478,411.478,12482,00:06:56.483,416.483,150,00:00:05.005,5.005
99,12482,00:06:56.483,416.483,12650,00:07:02.088,422.088,168,00:00:05.606,5.606
100,12650,00:07:02.088,422.088,12828,00:07:08.028,428.028,178,00:00:05.939,5.939
101,12828,00:07:08.028,428.028,12980,00:07:13.099,433.099,152,00:00:05.072,5.072
102,12980,00:07:13.099,433.099,13126,00:07:17.971,437.971,146,00:00:04.872,4.872
103,13126,00:07:17.971,437.971,13272,00:07:22.842,442.842,146,00:00:04.872,4.872
104,13272,00:07:22.842,442.842,13421,00:07:27.814,447.814,149,00:00:04.972,4.972
105,13421,00:07:27.814,447.814,13648,00:07:35.388,455.388,227,00:00:07.574,7.574
106,13648,00:07:35.388,455.388,13799,00:07:40.427,460.427,151,00:00:05.038,5.038
107,13799,00:07:40.427,460.427,13925,00:07:44.631,464.631,126,00:00:04.204,4.204
108,13925,00:07:44.631,464.631,14068,00:07:49.402,469.402,143,00:00:04.771,4.771
109,14068,00:07:49.402,469.402,14227,00:07:54.708,474.708,159,00:00:05.305,5.305
110,14227,00:07:54.708,474.708,14617,00:08:07.721,487.721,390,00:00:13.013,13.013
111,14617,00:08:07.721,487.721,14752,00:08:12.225,492.225,135,00:00:04.505,4.505
112,14752,00:08:12.225,492.225,14902,00:08:17.230,497.230,150,00:00:05.005,5.005
113,14902,00:08:17.230,497.230,15105,00:08:24.004,504.004,203,00:00:06.773,6.773
114,15105,00:08:24.004,504.004,15215,00:08:27.674,507.674,110,00:00:03.670,3.670
115,15215,00:08:27.674,507.674,15386,00:08:33.380,513.380,171,00:00:05.706,5.706
116,15386,00:08:33.380,513.380,15579,00:08:39.819,519.819,193,00:00:06.440,6.440
117,15579,00:08:39.819,519.819,15644,00:08:41.988,521.988,65,00:00:02.169,2.169
118,15644,00:08:41.988,521.988,15691,00:08:43.556,523.556,47,00:00:01.568,1.568
119,15691,00:08:43.556,523.556,15815,00:08:47.694,527.694,124,00:00:04.137,4.137
120,15815,00:08:47.694,527.694,15967,00:08:52.766,532.766,152,00:00:05.072,5.072
121,15967,00:08:52.766,532.766,16131,00:08:58.238,538.238,164,00:00:05.472,5.472
122,16131,00:08:58.238,538.238,16283,00:09:03.309,543.309,152,00:00:05.072,5.072
123,16283,00:09:03.309,543.309,16425,00:09:08.048,548.048,142,00:00:04.738,4.738
124,16425,00:09:08.048,548.048,16571,00:09:12.919,552.919,146,00:00:04.872,4.872
125,16571,00:09:12.919,552.919,16719,00:09:17.857,557.857,148,00:00:04.938,4.938
126,16719,00:09:17.857,557.857,16831,00:09:21.594,561.594,112,00:00:03.737,3.737
127,16831,00:09:21.594,561.594,16995,00:09:27.067,567.067,164,00:00:05.472,5.472
128,16995,00:09:27.067,567.067,17167,00:09:32.806,572.806,172,00:00:05.739,5.739
129,17167,00:09:32.806,572.806,17319,00:09:37.877,577.877,152,00:00:05.072,5.072
130,17319,00:09:37.877,577.877,17464,00:09:42.715,582.715,145,00:00:04.838,4.838
131,17464,00:09:42.715,582.715,17620,00:09:47.921,587.921,156,00:00:05.205,5.205
132,17620,00:09:47.921,587.921,17724,00:09:51.391,591.391,104,00:00:03.470,3.470
133,17724,00:09:51.391,591.391,17924,00:09:58.064,598.064,200,00:00:06.673,6.673
134,17924,00:09:58.064,598.064,18074,00:10:03.069,603.069,150,00:00:05.005,5.005
135,18074,00:10:03.069,603.069,18167,00:10:06.172,606.172,93,00:00:03.103,3.103
136,18167,00:10:06.172,606.172,18270,00:10:09.609,609.609,103,00:00:03.437,3.437
137,18270,00:10:09.609,609.609,18415,00:10:14.447,614.447,145,00:00:04.838,4.838
138,18415,00:10:14.447,614.447,18678,00:10:23.223,623.223,263,00:00:08.775,8.775
139,18678,00:10:23.223,623.223,18832,00:10:28.361,628.361,154,00:00:05.138,5.138
140,18832,00:10:28.361,628.361,18996,00:10:33.833,633.833,164,00:00:05.472,5.472
141,18996,00:10:33.833,633.833,19146,00:10:38.838,638.838,150,00:00:05.005,5.005
142,19146,00:10:38.838,638.838,19323,00:10:44.744,644.744,177,00:00:05.906,5.906
143,19323,00:10:44.744,644.744,19432,00:10:48.381,648.381,109,00:00:03.637,3.637
144,19432,00:10:48.381,648.381,19500,00:10:50.650,650.650,68,00:00:02.269,2.269
145,19500,00:10:50.650,650.650,19649,00:10:55.622,655.622,149,00:00:04.972,4.972
146,19649,00:10:55.622,655.622,19820,00:11:01.327,661.327,171,00:00:05.706,5.706
147,19820,00:11:01.327,661.327,19955,00:11:05.832,665.832,135,00:00:04.505,4.505
148,19955,00:11:05.832,665.832,20108,00:11:10.937,670.937,153,00:00:05.105,5.105
149,20108,00:11:10.937,670.937,20250,00:11:15.675,675.675,142,00:00:04.738,4.738
150,20250,00:11:15.675,675.675,20373,00:11:19.779,679.779,123,00:00:04.104,4.104
151,20373,00:11:19.779,679.779,20469,00:11:22.982,682.982,96,00:00:03.203,3.203
152,20469,00:11:22.982,682.982,20643,00:11:28.788,688.788,174,00:00:05.806,5.806
153,20643,00:11:28.788,688.788,20754,00:11:32.492,692.492,111,00:00:03.704,3.704
154,20754,00:11:32.492,692.492,20822,00:11:34.761,694.761,68,00:00:02.269,2.269
155,20822,00:11:34.761,694.761,21130,00:11:45.038,705.038,308,00:00:10.277,10.277
156,21130,00:11:45.038,705.038,21333,00:11:51.811,711.811,203,00:00:06.773,6.773
157,21333,00:11:51.811,711.811,21478,00:11:56.649,716.649,145,00:00:04.838,4.838
158,21478,00:11:56.649,716.649,21619,00:12:01.354,721.354,141,00:00:04.705,4.705
159,21619,00:12:01.354,721.354,21770,00:12:06.392,726.392,151,00:00:05.038,5.038
160,21770,00:12:06.392,726.392,21874,00:12:09.862,729.862,104,00:00:03.470,3.470
161,21874,00:12:09.862,729.862,22008,00:12:14.334,734.334,134,00:00:04.471,4.471
162,22008,00:12:14.334,734.334,22145,00:12:18.905,738.905,137,00:00:04.571,4.571
163,22145,00:12:18.905,738.905,22273,00:12:23.176,743.176,128,00:00:04.271,4.271
164,22273,00:12:23.176,743.176,22373,00:12:26.512,746.512,100,00:00:03.337,3.337
165,22373,00:12:26.512,746.512,22576,00:12:33.286,753.286,203,00:00:06.773,6.773
166,22576,00:12:33.286,753.286,22766,00:12:39.626,759.626,190,00:00:06.340,6.340
167,22766,00:12:39.626,759.626,22916,00:12:44.631,764.631,150,00:00:05.005,5.005
168,22916,00:12:44.631,764.631,23071,00:12:49.802,769.802,155,00:00:05.172,5.172
169,23071,00:12:49.802,769.802,23218,00:12:54.707,774.707,147,00:00:04.905,4.905
170,23218,00:12:54.707,774.707,23443,00:13:02.215,782.215,225,00:00:07.508,7.508
171,23443,00:13:02.215,782.215,23588,00:13:07.053,787.053,145,00:00:04.838,4.838
172,23588,00:13:07.053,787.053,23773,00:13:13.226,793.226,185,00:00:06.173,6.173
173,23773,00:13:13.226,793.226,23938,00:13:18.731,798.731,165,00:00:05.506,5.506
174,23938,00:13:18.731,798.731,24109,00:13:24.437,804.437,171,00:00:05.706,5.706
175,24109,00:13:24.437,804.437,24269,00:13:29.776,809.776,160,00:00:05.339,5.339
176,24269,00:13:29.776,809.776,24419,00:13:34.781,814.781,150,00:00:05.005,5.005
177,24419,00:13:34.781,814.781,24574,00:13:39.952,819.952,155,00:00:05.172,5.172
178,24574,00:13:39.952,819.952,24728,00:13:45.091,825.091,154,00:00:05.138,5.138
179,24728,00:13:45.091,825.091,24895,00:13:50.663,830.663,167,00:00:05.572,5.572
180,24895,00:13:50.663,830.663,25005,00:13:54.334,834.334,110,00:00:03.670,3.670
181,25005,00:13:54.334,834.334,25141,00:13:58.871,838.871,136,00:00:04.538,4.538
182,25141,00:13:58.871,838.871,25305,00:14:04.344,844.344,164,00:00:05.472,5.472
183,25305,00:14:04.344,844.344,25496,00:14:10.717,850.717,191,00:00:06.373,6.373
184,25496,00:14:10.717,850.717,25730,00:14:18.524,858.524,234,00:00:07.808,7.808
185,25730,00:14:18.524,858.524,25902,00:14:24.263,864.263,172,00:00:05.739,5.739
186,25902,00:14:24.263,864.263,26016,00:14:28.067,868.067,114,00:00:03.804,3.804
187,26016,00:14:28.067,868.067,26154,00:14:32.672,872.672,138,00:00:04.605,4.605
188,26154,00:14:32.672,872.672,26422,00:14:41.614,881.614,268,00:00:08.942,8.942
189,26422,00:14:41.614,881.614,26674,00:14:50.022,890.022,252,00:00:08.408,8.408
190,26674,00:14:50.022,890.022,26786,00:14:53.760,893.760,112,00:00:03.737,3.737
191,26786,00:14:53.760,893.760,26932,00:14:58.631,898.631,146,00:00:04.872,4.872
192,26932,00:14:58.631,898.631,27011,00:15:01.267,901.267,79,00:00:02.636,2.636
193,27011,00:15:01.267,901.267,27459,00:15:16.215,916.215,448,00:00:14.948,14.948
194,27459,00:15:16.215,916.215,27682,00:15:23.656,923.656,223,00:00:07.441,7.441
195,27682,00:15:23.656,923.656,27839,00:15:28.895,928.895,157,00:00:05.239,5.239
196,27839,00:15:28.895,928.895,28074,00:15:36.736,936.736,235,00:00:07.841,7.841
197,28074,00:15:36.736,936.736,28237,00:15:42.175,942.175,163,00:00:05.439,5.439
198,28237,00:15:42.175,942.175,28434,00:15:48.748,948.748,197,00:00:06.573,6.573
199,28434,00:15:48.748,948.748,28763,00:15:59.725,959.725,329,00:00:10.978,10.978
200,28763,00:15:59.725,959.725,28975,00:16:06.799,966.799,212,00:00:07.074,7.074
201,28975,00:16:06.799,966.799,29170,00:16:13.306,973.306,195,00:00:06.506,6.506
202,29170,00:16:13.306,973.306,29312,00:16:18.044,978.044,142,00:00:04.738,4.738
